Date,Number of  reported results
2022/7/18 0:00,42574
2022/7/17 0:00,39611
2022/7/16 0:00,38769
2022/7/15 0:00,39234
2022/7/14 0:00,40549
2022/7/13 0:00,46246
2022/7/12 0:00,46910
2022/7/11 0:00,40545
2022/7/10 0:00,41785
2022/7/9 0:00,47094
2022/7/8 0:00,42806
2022/7/7 0:00,43407
2022/7/6 0:00,47344
2022/7/5 0:00,44578
2022/7/4 0:00,42645
2022/7/3 0:00,40486
2022/7/2 0:00,41765
2022/7/1 0:00,47248
2022/6/30 0:00,44212
2022/6/29 0:00,45645
2022/6/28 0:00,47312
2022/6/27 0:00,47986
2022/6/26 0:00,50450
2022/6/25 0:00,46089
2022/6/24 0:00,50617
2022/6/23 0:00,53111
2022/6/22 0:00,47645
2022/6/21 0:00,53342
2022/6/20 0:00,50484
2022/6/19 0:00,55359
2022/6/18 0:00,47205
2022/6/17 0:00,54665
2022/6/16 0:00,53430
2022/6/15 0:00,55989
2022/6/14 0:00,59968
2022/6/13 0:00,53802
2022/6/12 0:00,56684
2022/6/11 0:00,51958
2022/6/10 0:00,55376
2022/6/9 0:00,60020
2022/6/8 0:00,61026
2022/6/7 0:00,58991
2022/6/6 0:00,58478
2022/6/5 0:00,56738
2022/6/4 0:00,58263
2022/6/3 0:00,65431
2022/6/2 0:00,61278
2022/6/1 0:00,63241
2022/5/31 0:00,62768
2022/5/30 0:00,60969
2022/5/29 0:00,56839
2022/5/28 0:00,60069
2022/5/27 0:00,63846
2022/5/26 0:00,63188
2022/5/25 0:00,62723
2022/5/24 0:00,63380
2022/5/23 0:00,66431
2022/5/22 0:00,67909
2022/5/21 0:00,66814
2022/5/20 0:00,69884
2022/5/19 0:00,70920
2022/5/18 0:00,73933
2022/5/17 0:00,70722
2022/5/16 0:00,68349
2022/5/15 0:00,67115
2022/5/14 0:00,73225
2022/5/13 0:00,77585
2022/5/12 0:00,75673
2022/5/11 0:00,79446
2022/5/10 0:00,74412
2022/5/9 0:00,88932
2022/5/8 0:00,72518
2022/5/7 0:00,74458
2022/5/6 0:00,76292
2022/5/5 0:00,85979
2022/5/4 0:00,107750
2022/5/3 0:00,85817
2022/5/2 0:00,95643
2022/5/1 0:00,77658
2022/4/30 0:00,77991
2022/4/29 0:00,106652
2022/4/28 0:00,88974
2022/4/27 0:00,98967
2022/4/26 0:00,103153
2022/4/25 0:00,91548
2022/4/24 0:00,97452
2022/4/23 0:00,95562
2022/4/22 0:00,119232
2022/4/21 0:00,97955
2022/4/20 0:00,102007
2022/4/19 0:00,108899
2022/4/18 0:00,112383
2022/4/17 0:00,106681
2022/4/16 0:00,107987
2022/4/15 0:00,129991
2022/4/14 0:00,113448
2022/4/13 0:00,123255
2022/4/12 0:00,114907
2022/4/11 0:00,109828
2022/4/10 0:00,126241
2022/4/9 0:00,134210
2022/4/8 0:00,141158
2022/4/7 0:00,117761
2022/4/6 0:00,117856
2022/4/5 0:00,121356
2022/4/4 0:00,129651
2022/4/3 0:00,124532
2022/4/2 0:00,155079
2022/4/1 0:00,144648
2022/3/31 0:00,135219
2022/3/30 0:00,158139
2022/3/29 0:00,149070
2022/3/28 0:00,173696
2022/3/27 0:00,165468
2022/3/26 0:00,149507
2022/3/25 0:00,150197
2022/3/24 0:00,169066
2022/3/23 0:00,156785
2022/3/22 0:00,160161
2022/3/21 0:00,173636
2022/3/20 0:00,154987
2022/3/19 0:00,156311
2022/3/18 0:00,179830
2022/3/17 0:00,169071
2022/3/16 0:00,217856
2022/3/15 0:00,202855
2022/3/14 0:00,185406
2022/3/13 0:00,179436
2022/3/12 0:00,192049
2022/3/11 0:00,226349
2022/3/10 0:00,208884
2022/3/9 0:00,201799
2022/3/8 0:00,207473
2022/3/7 0:00,218595
2022/3/6 0:00,218595
2022/3/5 0:00,229895
2022/3/4 0:00,203730
2022/3/3 0:00,240018
2022/3/2 0:00,257304
2022/3/1 0:00,240137
2022/2/28 0:00,251094
2022/2/27 0:00,250413
2022/2/26 0:00,248363
2022/2/25 0:00,255907
2022/2/24 0:00,250674
2022/2/23 0:00,277576
2022/2/22 0:00,306356
2022/2/21 0:00,278731
2022/2/20 0:00,273306
2022/2/19 0:00,282327
2022/2/18 0:00,265238
2022/2/17 0:00,342003
2022/2/16 0:00,289721
2022/2/15 0:00,287836
2022/2/14 0:00,261521
2022/2/13 0:00,277471
2022/2/12 0:00,269885
2022/2/11 0:00,278826
2022/2/10 0:00,304830
2022/2/9 0:00,305372
2022/2/8 0:00,336236
2022/2/7 0:00,288228
2022/2/6 0:00,311018
2022/2/5 0:00,319698
2022/2/4 0:00,359679
2022/2/3 0:00,358176
2022/2/2 0:00,361908
2022/2/1 0:00,351663
2022/1/31 0:00,341314
2022/1/30 0:00,294687
2022/1/29 0:00,313220
2022/1/28 0:00,296968
2022/1/27 0:00,331844
2022/1/26 0:00,302348
2022/1/25 0:00,276404
2022/1/24 0:00,258038
2022/1/23 0:00,269929
2022/1/22 0:00,241489
2022/1/21 0:00,273727
2022/1/20 0:00,243964
2022/1/19 0:00,280622
2022/1/18 0:00,220950
2022/1/17 0:00,222197
2022/1/16 0:00,209609
2022/1/15 0:00,205880
2022/1/14 0:00,169484
2022/1/13 0:00,132726
2022/1/12 0:00,137586
2022/1/11 0:00,153880
2022/1/10 0:00,107134
2022/1/9 0:00,91477
2022/1/8 0:00,101503
2022/1/7 0:00,80630
